O’Higgins,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4911.0,2036.0,974.0,725.0,761.0,1590.0,1138.0,991.0,736.0,604.0,571.0,582.0,578.0,519.0,464.0,483.0,429.0,371.0,353.0,348.0,324.0,306.0,291.0,270.0,269.0,256.0,231.0,224.0,227.0,196.0,201.0,166.0,166.0,160.0,156.0,154.0,140.0,130.0,108.0,107.0,131.0,110.0,41.0,5.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Los Lagos,Primera,155.0,148.0,224.0,263.0,299.0,388.0,4838.0,6235.0,9024.0,10144.0,10407.0,10486.0,7983.0,8615.0,9427.0,9337.0,10528.0,11057.0,11337.0,11456.0,12100.0,12194.0,12592.0,13124.0,13555.0,13558.0,13029.0,12579.0,12097.0,11632.0,11611.0,11482.0,11929.0,11864.0,11552.0,11414.0,10963.0,10860.0,10906.0,11468.0,11612.0,12029.0,11933.0,11307.0,11189.0,11124.0,11464.0,11652.0,11401.0,11440.0,11221.0,10880.0,10605.0,9990.0,10009.0,9260.0,8950.0,8562.0,8222.0,7861.0,7259.0,7055.0,6451.0,6011.0,5785.0,5385.0,5319.0,5039.0,4725.0,4286.0,4086.0,3675.0,3707.0,3367.0,23559.0
Los Lagos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,1416.0,1522.0,4892.0,7770.0,8744.0,9159.0,7203.0,7928.0,8702.0,8623.0,9744.0,10295.0,10588.0,10695.0,11395.0,11488.0,11907.0,12387.0,12870.0,12866.0,12355.0,11963.0,11584.0,11128.0,11125.0,11007.0,11507.0,11439.0,11181.0,11053.0,10638.0,10542.0,10612.0,11169.0,11323.0,11705.0,11638.0,11046.0,10963.0,10877.0,11211.0,11413.0,11190.0,11226.0,10999.0,10701.0,10415.0,9841.0,9828.0,9084.0,8797.0,8430.0,8113.0,7752.0,7159.0,6960.0,6364.0,5927.0,5709.0,5312.0,5257.0,4966.0,4659.0,4225.0,4018.0,3622.0,3656.0,3310.0,23044.0
Los Lagos,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4231.0,2945.0,2427.0,2025.0,1466.0,1289.0,1171.0,1041.0,968.0,937.0,971.0,1007.0,945.0,973.0,779.0,762.0,752.0,725.0,717.0,646.0,676.0,647.0,609.0,593.0,565.0,585.0,556.0,547.0,540.0,529.0,559.0,474.0,475.0,409.0,415.0,401.0,395.0,372.0,339.0,299.0,285.0,266.0,102.0,17.0,8.0,11.0,11.0,7.0,4.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,3.0,0.0,1.0,6.0,2.0,1.0,8.0
Los Ríos,Primera,86.0,103.0,108.0,158.0,187.0,195.0,1935.0,2755.0,4443.0,4567.0,4809.0,4583.0,3943.0,4475.0,4677.0,4819.0,4918.0,4946.0,5248.0,5353.0,5585.0,5559.0,5822.0,5859.0,5912.0,6024.0,5734.0,5402.0,5260.0,5198.0,5039.0,4926.0,5161.0,5117.0,4869.0,4869.0,4572.0,4579.0,4505.0,4899.0,4977.0,5009.0,5052.0,4801.0,4890.0,4865.0,5108.0,5397.0,5473.0,5373.0,5387.0,5269.0,5257.0,5133.0,5010.0,4603.0,4565.0,4440.0,4218.0,4059.0,3996.0,3861.0,3552.0,3331.0,3005.0,2914.0,2787.0,2758.0,2578.0,2263.0,2200.0,1986.0,1976.0,1683.0,12468.0
Los Ríos,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,837.0,1046.0,3113.0,3740.0,4207.0,4153.0,3679.0,4224.0,4428.0,4571.0,4643.0,4691.0,4950.0,5038.0,5320.0,5279.0,5575.0,5591.0,5625.0,5788.0,5494.0,5206.0,5073.0,4996.0,4878.0,4765.0,5000.0,4959.0,4730.0,4730.0,4465.0,4464.0,4408.0,4779.0,4862.0,4889.0,4950.0,4695.0,4797.0,4780.0,5032.0,5273.0,5362.0,5279.0,5307.0,5176.0,5172.0,5043.0,4933.0,4526.0,4500.0,4372.0,4149.0,4006.0,3948.0,3808.0,3509.0,3281.0,2959.0,2861.0,2753.0,2703.0,2535.0,2230.0,2156.0,1960.0,1945.0,1653.0,12150.0
Los Ríos,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,749.0,524.0,424.0,412.0,623.0,552.0,419.0,380.0,375.0,365.0,367.0,307.0,328.0,315.0,286.0,251.0,266.0,246.0,222.0,219.0,219.0,187.0,191.0,199.0,195.0,176.0,184.0,198.0,189.0,143.0,163.0,164.0,127.0,161.0,148.0,123.0,110.0,136.0,100.0,102.0,100.0,32.0,15.0,10.0,11.0,11.0,3.0,6.0,3.0,6.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,8.0
Magallanes,Primera,31.0,34.0,39.0,36.0,62.0,61.0,1448.0,1637.0,2017.0,2014.0,2041.0,1949.0,1211.0,1398.0,1247.0,1194.0,1513.0,1753.0,1997.0,2029.0,2352.0,2403.0,2425.0,2625.0,2717.0,2671.0,2750.0,2715.0,2505.0,2512.0,2570.0,2461.0,2560.0,2568.0,2371.0,2384.0,2389.0,2364.0,2234.0,2383.0,2275.0,2281.0,2142.0,2015.0,2113.0,1883.0,1967.0,2141.0,2070.0,2052.0,2143.0,2154.0,2120.0,2089.0,2057.0,2019.0,2002.0,2011.0,1800.0,1785.0,1574.0,1473.0,1337.0,1240.0,1163.0,1085.0,1029.0,1010.0,934.0,840.0,790.0,760.0,680.0,667.0,4558.0
Magallanes,Segunda,0.0,0.0,0.0,0.0,0.0,0.0,1054.0,1144.0,1764.0,1878.0,1918.0,1845.0,1148.0,1344.0,1189.0,1147.0,1440.0,1677.0,1922.0,1940.0,2264.0,2322.0,2355.0,2531.0,2640.0,2581.0,2666.0,2627.0,2438.0,2449.0,2518.0,2411.0,2512.0,2532.0,2330.0,2350.0,2348.0,2330.0,2205.0,2347.0,2243.0,2247.0,2116.0,1974.0,2083.0,1862.0,1944.0,2123.0,2048.0,2033.0,2125.0,2124.0,2107.0,2070.0,2037.0,2004.0,1969.0,1993.0,1787.0,1761.0,1556.0,1463.0,1326.0,1228.0,1154.0,1077.0,1019.0,1001.0,925.0,829.0,785.0,750.0,673.0,657.0,4489.0
Magallanes,Unica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1253.0,1032.0,1035.0,971.0,938.0,667.0,633.0,549.0,409.0,393.0,428.0,340.0,390.0,375.0,349.0,354.0,316.0,327.0,274.0,287.0,260.0,250.0,220.0,233.0,178.0,179.0,183.0,192.0,206.0,173.0,155.0,138.0,139.0,132.0,145.0,141.0,137.0,103.0,113.0,97.0,106.0,99.0,64.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
